"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Lay Lao","4.5","2462","65 Phahon Yothin 7","Phaya Thai","Bangkok","TH","https://facebook.com/laylao.restaurant","+66 62 453 5588","Thai restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lay%20Lao&query_place_id=ChIJ44AEpx2c4jARZKaM12f1HQI","Thai restaurant"
"Fishmonger Ari","4.4","1026","10, 6 Ari 4 Alley","Phaya Thai","Bangkok","TH","https://www.facebook.com/profile.php?id=100077382399717","+66 92 956 1905","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fishmonger%20Ari&query_place_id=ChIJi9oe0BSd4jARrjC1zDGgfb4","Restaurant"
"Baan Pueng Chom","4.2","1635","38 Phahon Yothin 7","Phaya Thai","Bangkok","TH","https://www.wongnai.com/restaurants/2458pa-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%B6%E0%B8%87%E0%B8%8A%E0%B8%A1","+66 2 279 4204","Thai restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Baan%20Pueng%20Chom&query_place_id=ChIJDeDuUByc4jARIqwSs_XcM2M","Thai restaurant"
"Kenny's BKK - Ari","4.7","1240","12, 5 Phahonyothin Rd","Phaya Thai","Bangkok","TH","http://kennysbkk.com/","+66 90 995 2040","Restaurant","Pizza restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kenny's%20BKK%20-%20Ari&query_place_id=ChIJNaJEbf-d4jARFkiVhqDL0zY","Restaurant"
"Ongtong Khaosoi Ari Branch","4.3","1861","31 Phahonyothin Soi 7","Phaya Thai","Bangkok","TH",,"+66 2 003 5254","Thai restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ongtong%20Khaosoi%20Ari%20Branch&query_place_id=ChIJT2m3lx2c4jARfziuf8CSZBY","Thai restaurant"
"Sawasdee Banh Mi Centric Ari","4.8","116","27 Phahon Yotin 5","Phaya Thai","Bangkok","TH",,"+66 88 941 7888","Vietnamese restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sawasdee%20Banh%20Mi%20Centric%20Ari&query_place_id=ChIJR8biX5Cf4jARnPCLAi6KdKo","Vietnamese restaurant"
"Khun Ake Mam Ari Pad Thai","5","56","1, 4 Phahon Yothin 7","Phaya Thai","Bangkok","TH",,"+66 61 496 1027","Thai restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Khun%20Ake%20Mam%20Ari%20Pad%20Thai&query_place_id=ChIJ2RWf5_ad4jARIsr_mSJ0-Wg","Thai restaurant"
"Yellow Lane","4.5","861","2, 92 Soi Phahon Yothin 5","Phaya Thai","Bangkok","TH","https://www.facebook.com/yellowlaneari","+66 65 123 8378","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yellow%20Lane&query_place_id=ChIJB82DFaaf4jARGv7WC1LFFkw","Restaurant"
"Beef Stew Ari","4.6","174","2 32 Phahon Yothin 7","Phaya Thai","Bangkok","TH",,"+66 97 226 3591","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Beef%20Stew%20Ari&query_place_id=ChIJH0lqV0ed4jARJVpxbX8z1rc","Restaurant"
"Senryoku curry rice เซนเรียวคุ ข้าวแกงกะหรี่จัดเต็ม","4.6","638","71, 10 Phahon Yothin 7","Phaya Thai","Bangkok","TH",,"+66 99 357 3456","Japanese curry restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Senryoku%20curry%20rice%20%E0%B9%80%E0%B8%8B%E0%B8%99%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B8%84%E0%B8%B8%20%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%81%E0%B8%81%E0%B8%87%E0%B8%81%E0%B8%B0%E0%B8%AB%E0%B8%A3%E0%B8%B5%E0%B9%88%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%95%E0%B9%87%E0%B8%A1&query_place_id=ChIJJWC7CCGd4jAR7PVdZj3bNKU","Japanese curry restaurant"
"โค-ร-ต KORATA (Siam Square)","4.9","2554","Siam Square Soi 3","Pathum Wan","Bangkok","TH","https://openlink.co/korata_th","+66 2 001 3746","Thai restaurant","Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%84-%E0%B8%A3-%E0%B8%95%20KORATA%20(Siam%20Square)&query_place_id=ChIJ0xYxXwCf4jARPtJNOp_WXm8","Thai restaurant"
"Tiew Copper Craft","4.8","1011","991 Siam Paragon, Floor 5 (Nextopia Zone, Rama I Rd","Pathum Wan","Bangkok","TH","https://www.facebook.com/tiewcoppercraft","+66 82 172 8988","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tiew%20Copper%20Craft&query_place_id=ChIJUW9ZLCef4jARXoS_VGRhZjg","Restaurant"
"Jim Thompson, A Thai Restaurant","4.8","3646","6/1,6, 2 Kasem San 2 Alley","Pathum Wan","Bangkok","TH","https://jimthompsonrestaurant.com/restaurant/a-thai-restaurant/","+66 61 421 8951","Thai restaurant","Asian restaurant","Cocktail bar","Event venue","Fine dining restaurant","Restaurant",,,,,"https://www.google.com/maps/search/?api=1&query=Jim%20Thompson%2C%20A%20Thai%20Restaurant&query_place_id=ChIJKVqr3I6Z4jARPi6t_zvvL1A","Thai restaurant"
"Sra Bua by Kiin Kiin","4.7","1081","991/9, Siam Kempinski Hotel, Rama I Rd","Pathum Wan","Bangkok","TH","https://www.kempinski.com/en/siam-hotel/restaurants-bars/sra-bua-by-kiin-kiin?utm_medium=organic&utm_source=google&utm_campaign=KIBKK1&utm_content=gmb&source=S308962248","+66 2 162 9000","Thai restaurant","Diner","Fine dining restaurant","Lunch restaurant",,,,,,,"https://www.google.com/maps/search/?api=1&query=Sra%20Bua%20by%20Kiin%20Kiin&query_place_id=ChIJIdQ-0s2e4jAREzCRlcXp3qc","Thai restaurant"
"TAAN Bangkok - Thai Fine Dining Restaurant","4.6","343","25th Fl, Siam@Siam Design Hotel Bangkok, 865 Rama I Rd","Pathum Wan","Bangkok","TH","http://www.taanbangkok.com/?utm_content_GMB","+66 65 328 7374","Thai restaurant","Fine dining restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TAAN%20Bangkok%20-%20Thai%20Fine%20Dining%20Restaurant&query_place_id=ChIJbV7JakqZ4jARz5eeuH1tuxE","Thai restaurant"
"White Flower Factory - ครัวดอกไม้ขาว","4.6","1521","Unit #SS 4009, 388 Rama I Rd","Pathum Wan","Bangkok","TH","https://lin.ee/apXJZm3","+66 99 002 0897","Thai restaurant","Bakery","Dessert shop","Fusion restaurant",,,,,,,"https://www.google.com/maps/search/?api=1&query=White%20Flower%20Factory%20-%20%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%94%E0%B8%AD%E0%B8%81%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%82%E0%B8%B2%E0%B8%A7&query_place_id=ChIJ937RdtKe4jARPRuzBAQLNxc","Thai restaurant"
"Pizzeria Da Michele Bangkok","4.7","1018","SIAM PARAGON MALL, Level 5 - Nextopia Zone, 991 Rama I Rd","Pathum Wan","Bangkok","TH","https://www.damichelebkk.co.th/","+66 81 849 4620","Italian restaurant","Cocktail bar","Ice cream shop","Pizza restaurant","Wine bar",,,,,,"https://www.google.com/maps/search/?api=1&query=Pizzeria%20Da%20Michele%20Bangkok&query_place_id=ChIJqY_zAACf4jAR531b-mrezXs","Italian restaurant"
"ร้านต้นโอ๊ก Tonoak-Restaurant","4.5","306","432/5 Siam Square 9 Alley","Pathum Wan","Bangkok","TH","https://linktr.ee/tonoakrestaurant","+66 97 241 0651","Thai restaurant","Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%82%E0%B8%AD%E0%B9%8A%E0%B8%81%20Tonoak-Restaurant&query_place_id=ChIJmRfAQNKe4jARRomB784P5g0","Thai restaurant"
"Jaguemsong Siam Square One","4.9","3473","388 ชั้น 5 ห้องเลขที่ ss5016 อาคารสยามสแควร์วัน, ิ","Pathum Wan","Bangkok","TH","https://www.facebook.com/jaguemsong?rdid=VbBmB5fF5zyWbvhL&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F17X7ZspykB%2F#","+66 66 156 4426","Korean restaurant","Wok restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jaguemsong%20Siam%20Square%20One&query_place_id=ChIJI9ZH5vGf4jAR4EfOG4k_M8c","Korean restaurant"
"Katsuya Siam square one","4.9","1060","Rama I Rd, Unit #MS 1042","Pathum Wan","Bangkok","TH","https://www.facebook.com/KatsuyaThailand","","Tonkatsu restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Katsuya%20Siam%20square%20one&query_place_id=ChIJ2UNxXSKf4jARtP2IftNYDrU","Tonkatsu restaurant"
"Piranya@Siam","4.8","1463","430/27 สยามสแควร์ ซอย 9 Rama I Rd","Pathum Wan","Bangkok","TH","https://www.facebook.com/piranyasiam","+66 2 252 7195","Thai restaurant","Noodle shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Piranya%40Siam&query_place_id=ChIJgX7MQtKe4jARWUtEd9dE3zs","Thai restaurant"
"BORNGA Siam Discovery","4.8","1301","เลขที่ 989 อาคาร, Siam Discovery, ชั้นที่ 3 ห้องเลขที่ 310","Pathum Wan","Bangkok","TH","https://www.facebook.com/BorngaTH/","+66 81 149 1169","Restaurant","Korean restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BORNGA%20Siam%20Discovery&query_place_id=ChIJc2-2cwCf4jARvP7wchxNwT8","Restaurant"
"EASY! buddy Siam Center","4.7","825","Siam Centre, 2nd Floor, 979 Rama I Rd","Pathum Wan","Bangkok","TH","https://www.instagram.com/easybuddybkk/","+66 2 129 6920","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=EASY!%20buddy%20Siam%20Center&query_place_id=ChIJ32UB3HKf4jARiuAr1TeJxf8","Restaurant"
"SOMA Bangkok","4.6","274","Siam Patumwan House, 414 Phayathai Road Wang Mai Sub District","Pathum Wan","Bangkok","TH","http://somabangkok.com/?utm_content_GMB","+66 95 372 2644","Thai restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SOMA%20Bangkok&query_place_id=ChIJ1crUqJif4jARpt1VjPzcAs8","Thai restaurant"
"Have A Zeed - Siam Discovery","4.8","211","989 ชั้น 3 ห้องเลขที่ 307/2, Rama I Rd","Pathum Wan","Bangkok","TH","https://web.facebook.com/haveazeed","+66 2 120 6483","Thai restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Have%20A%20Zeed%20-%20Siam%20Discovery&query_place_id=ChIJG-RTCIKf4jARlHGTRG22Xzs","Thai restaurant"
"Smith & Co. (Siam Paragon)","4.7","389","Siam Paragon, 911 Rama I Rd","Pathum Wan","Bangkok","TH","https://www.facebook.com/smithandcobangkok","+66 80 261 5242","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Smith%20%26%20Co.%20(Siam%20Paragon)&query_place_id=ChIJpWDvUBKf4jAR6rDDq6zp8mw","Restaurant"
"Gourmet Bar","4.8","418","Fl 1, Novotel Bangkok on Siam Square, 392/44 Siam Square Soi 6","Pathum Wan","Bangkok","TH","https://www.novotelbkk.com/bars-restaurants/gourmetbar/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps","+66 2 209 8888","Restaurant","Bar",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gourmet%20Bar&query_place_id=ChIJxWkSAtKe4jARzXhzk2VYrZ4","Restaurant"
"ข้าวโซอิ KHAO-SO-i Siam Paragon","4.8","1760","G Floor, Siam Paragon, Rama I Rd","Pathum Wan","Bangkok","TH","https://www.facebook.com/khao.so.i.group","+66 80 073 0238","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%82%E0%B8%8B%E0%B8%AD%E0%B8%B4%20KHAO-SO-i%20Siam%20Paragon&query_place_id=ChIJcdirPxmf4jARag_4rNCeT58","Restaurant"
"Peppery Thai Bistro (Siam Paragon)","4.5","963","G Floor, Siam Paragon Mall","Pathum Wan","Bangkok","TH","http://www.pepperythaibistro.com/","+66 91 440 7586","Thai restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Peppery%20Thai%20Bistro%20(Siam%20Paragon)&query_place_id=ChIJocsm782e4jARRJdaSjE2dZo","Thai restaurant"
"Bianca Italian Restaurant (Siam Paragon)","4.8","358","G Floor, Siam Paragon, 991 Rama I Rd","Pathum Wan","Bangkok","TH","https://www.sevenrooms.com/explore/biancaitalian/reservations/create/search/?venues=biancaonebangkok%2CbiancaItalianrestaurant%2Cbiancasiamparagon%2Cbiancaiconsiam","+66 80 005 6682","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bianca%20Italian%20Restaurant%20(Siam%20Paragon)&query_place_id=ChIJvxLSuZCf4jARnUAlEFeCi7c","Restaurant"
"Krua Jiang Mai","4.8","2766","125 24 Thong Lo","Watthana","Bangkok","TH",,"+66 99 196 2464","Thai restaurant","Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Krua%20Jiang%20Mai&query_place_id=ChIJh7s6GVOe4jAReTmapQOwBQ0","Thai restaurant"
"Fuego","4.8","625","ตึก The Taste Thonglor ชั้น 2 Thong Lo","Watthana","Bangkok","TH","https://www.fuegobangkok.com/","+66 64 453 5621","Restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fuego&query_place_id=ChIJN7fHY7Gf4jAR8jjTD8UA81k","Restaurant"
"Supanniga Eating Room by Khun Yai","4.4","1730","160/11 Thong Lo","Watthana","Bangkok","TH","http://www.supannigaeatingroom.com/","+66 91 774 9808","Thai restaurant","Brunch restaurant","Cocktail bar","Restaurant","Wine bar",,,,,,"https://www.google.com/maps/search/?api=1&query=Supanniga%20Eating%20Room%20by%20Khun%20Yai&query_place_id=ChIJYSgxk6yf4jAROxN8pCQzqJA","Thai restaurant"
"BARTELS Thonglor - Sourdough Sandwiches, Coffee & Juicery","4.7","1012","Market Place, 323 Thong Lo","Watthana","Bangkok","TH","https://bartelsthailand.com/","+66 61 710 8448","Brunch restaurant","Cafe","Western restaurant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=BARTELS%20Thonglor%20-%20Sourdough%20Sandwiches%2C%20Coffee%20%26%20Juicery&query_place_id=ChIJRYG-ZEmf4jARsi5wK97SIJU","Brunch restaurant"
"Lucca Thonglor – Mediterranean Restaurant, Rooftop & All-Day Brunch","4.9","841","Thonglor, 125/26 Thong Lo","Watthana","Bangkok","TH","https://lucca.co.th/visit","+66 65 594 9454","Restaurant","Brunch restaurant","Mediterranean restaurant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lucca%20Thonglor%20%E2%80%93%20Mediterranean%20Restaurant%2C%20Rooftop%20%26%20All-Day%20Brunch&query_place_id=ChIJbx8TnXKf4jARvOgGrfi8gCQ","Restaurant"
"Breakfast Story Thonglor","4.7","588","154 Thong Lo","Watthana","Bangkok","TH","https://www.breakfaststorybkk.com/","+66 2 121 7677","Restaurant","American restaurant","Breakfast restaurant","Cafe","Canadian restaurant","Coffee shop",,,,,"https://www.google.com/maps/search/?api=1&query=Breakfast%20Story%20Thonglor&query_place_id=ChIJa5vc1pSf4jARnkGCYRYBpE8","Restaurant"
"Di Vino Bangkok | Italian Restaurant Thonglor","4.7","384","Penny’s Balcony, Thong Lo","Watthana","Bangkok","TH","https://www.divinobangkok.com/","+66 2 714 8723","Italian restaurant","Restaurant","Wine bar","Wine store",,,,,,,"https://www.google.com/maps/search/?api=1&query=Di%20Vino%20Bangkok%20%7C%20Italian%20Restaurant%20Thonglor&query_place_id=ChIJi7QNHVOe4jARgyB05vA6Gk4","Italian restaurant"
"Baan Ice","4.6","2006","115 Thong Lo","Watthana","Bangkok","TH","https://www.baanice.com/","+66 64 450 9502","Thai restaurant","Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Baan%20Ice&query_place_id=ChIJKaihd6yf4jARJboSwdnH7sw","Thai restaurant"
"GaGa Udon House @Thonglor","4.8","1345","No. 90 Building, 1st Floor, Fifty Fifth Thonglor Thonglor, Napha Sap Alley, Lane 2","Watthana","Bangkok","TH","http://gagaudon.com/","+66 63 335 5304","Udon noodle restaurant","Buffet restaurant","Tempura restaurant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=GaGa%20Udon%20House%20%40Thonglor&query_place_id=ChIJ-9VINeef4jARrEtHnUew4MY","Udon noodle restaurant"
"KhuaKling PakSod Thong Lo","4.5","1510","98/1 Pai Di Ma Di Klang Alley","Watthana","Bangkok","TH","http://khuaklingpaksod.com/","+66 86 053 7779","Thai restaurant","Restaurant",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KhuaKling%20PakSod%20Thong%20Lo&query_place_id=ChIJe26gkKuf4jARIiXTKzB4REo","Thai restaurant"
"Another Round","4.8","431","Thong Lo","Watthana","Bangkok","TH",,"+66 82 441 5366","Restaurant","Musical club","Bar",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Another%20Round&query_place_id=ChIJD75XDlKf4jARvAglbw_g6UU","Restaurant"
"Ombra Modern Tavern @Seenspace","4.9","244","251/1 Thong Lo 13 Alley","Watthana","Bangkok","TH","https://www.veneziaseenspace.com/italian-restaurant","+66 64 790 7343","Wine bar","Bar","Italian restaurant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ombra%20Modern%20Tavern%20%40Seenspace&query_place_id=ChIJBesWKrCf4jARCG6Ux9nd1HM","Wine bar"
"BABA (बाबा) @Marché Thonglor","4.8","339","ZONE C / M FLOOR, 150 Thong Lo","Watthana","Bangkok","TH",,"+66 82 854 5826","Indian restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BABA%20(%E0%A4%AC%E0%A4%BE%E0%A4%AC%E0%A4%BE)%20%40March%C3%A9%20Thonglor&query_place_id=ChIJifNLs1Of4jAR3H6h56ZMF-E","Indian restaurant"
"You&I Premium Suki Buffet Marché Thonglor 2nd Floor","4.8","583","150 - 150/9","Watthana","Bangkok","TH","https://youandisuki.foodie-delivery.com/#/home","+66 94 232 0555","Buffet restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=You%26I%20Premium%20Suki%20Buffet%20March%C3%A9%20Thonglor%202nd%20Floor&query_place_id=ChIJxXLrTF2f4jARQ5rNYsm0jvc","Buffet restaurant"
"Hinoya Curry Thonglor | ฮิโนยะ เคอรี่ ทองหล่อ","4.9","96","64 Thong Lo","Watthana","Bangkok","TH","https://www.hinoyathailand.com/","+66 93 395 8989","Restaurant","Family restaurant","Japanese curry restaurant","Japanese restaurant",,,,,,,"https://www.google.com/maps/search/?api=1&query=Hinoya%20Curry%20Thonglor%20%7C%20%E0%B8%AE%E0%B8%B4%E0%B9%82%E0%B8%99%E0%B8%A2%E0%B8%B0%20%E0%B9%80%E0%B8%84%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88%20%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%AD&query_place_id=ChIJe5mgdwqf4jARKw51uAvzOK4","Restaurant"
"Shoutaian 2nd Rich","4.8","751","161/23, 9 Thong Lo","Watthana","Bangkok","TH",,"+66 93 584 4129","Yakiniku restaurant","Barbecue restaurant","Restaurant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Shoutaian%202nd%20Rich&query_place_id=ChIJmxoVfeOf4jARVWb_p58uYmA","Yakiniku restaurant"
"Xôi","4.7","66","2nd Floor, Market Place Thonglor, 323 Thong Lo","Watthana","Bangkok","TH",,"+66 63 904 9864","Vietnamese restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=X%C3%B4i&query_place_id=ChIJn7z6x9yd4jARvWWlYaD44SQ","Vietnamese restaurant"
"Terra Thonglor","4.8","1103","111/4 Ekkamai Rd","Watthana","Bangkok","TH","https://instagram.com/terra.bangkok?igshid=MzRlODBiNWFlZA==","+66 98 027 9514","Japanese restaurant","Authentic Japanese restaurant","Izakaya restaurant","Modern izakaya restaurant","Restaurant",,,,,,"https://www.google.com/maps/search/?api=1&query=Terra%20Thonglor&query_place_id=ChIJD-BXBI6f4jARI65_08-WeVQ","Japanese restaurant"
"키아니 한식당 통로 본점 Kiani Korean Restaurant Thonglor ร้านอาหารเกาหลี 韩国餐厅 Thonglor","4.8","1266","90 Fifty fifth Thonglor Building Thong Lo","Watthana","Bangkok","TH","http://www.facebook.com/kianikorea","+66 84 220 8282","Korean restaurant","Restaurant","Vegan restaurant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%ED%82%A4%EC%95%84%EB%8B%88%20%ED%95%9C%EC%8B%9D%EB%8B%B9%20%ED%86%B5%EB%A1%9C%20%EB%B3%B8%EC%A0%90%20Kiani%20Korean%20Restaurant%20Thonglor%20%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%B5%20%E9%9F%A9%E5%9B%BD%E9%A4%90%E5%8E%85%20Thonglor&query_place_id=ChIJx6JXUqmf4jAR6tmg4xV65_A","Korean restaurant"
"The Bar Italian Thonglor","4.7","496","36/1 1Fl, Soi Promphak","Watthana","Bangkok","TH","https://www.theba-ruitalian.com/","+66 81 414 0982","Italian restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Bar%20Italian%20Thonglor&query_place_id=ChIJL2QZHFSe4jARiJ3bfNaDY4Q","Italian restaurant"
"Gigi Eatery Asoke","4.8","3385","28 Soi Sukhumvit 19","Watthana","Bangkok","TH","http://gigibangkok.com/gigi-eatery-asoke/","+66 61 995 6060","Italian restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gigi%20Eatery%20Asoke&query_place_id=ChIJw5WEJoqf4jARFC4PiDtFCzc","Italian restaurant"
"Nara Thai Cuisine Terminal 21 Asoke","4.7","1136","Rm. 3054-55, Fl.3 Terminal 21, 88 Soi Sukhumvit 19","Watthana","Bangkok","TH","https://naracuisine.com/","+66 2 004 2565","Thai restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nara%20Thai%20Cuisine%20Terminal%2021%20Asoke&query_place_id=ChIJ5UUPyu6f4jARzil2TMt0IZg","Thai restaurant"
"Sunrise Tacos MEXICAN GRILL","4.7","5006","88 Soi Sukhumvit 19","Thawi Watthana","Bangkok","TH","https://www.sunrisetacos.com/","+66 90 210 5940","Mexican restaurant",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sunrise%20Tacos%20MEXICAN%20GRILL&query_place_id=ChIJxaq1oeOe4jAROvyHinpPC-Q","Mexican restaurant"
